Symbol,Company Name,Industry,Market Cap
A,"Agilent Technologies, Inc.",Diagnostics & Research,43.88B
AA,Alcoa Corporation,Aluminum,6.65B
AACG,ATA Creativity Global,Education & Training Services,27.99M
AACI,Armada Acquisition Corp. I,Shell Companies,94.86M
AACT,Ares Acquisition Corporation II,Shell Companies,663.75M
AADI,"Aadi Bioscience, Inc.",Biotechnology,44.64M
AAGR,African Agriculture Holdings Inc.,Farm Products,23.73M
AAL,American Airlines Group Inc.,Airlines,9.44B
AAMC,Altisource Asset Management Corporation,Mortgage Finance,7.43M
AAME,Atlantic American Corporation,Insurance - Life,36.32M
AAN,"The Aaron's Company, Inc.",Rental & Leasing Services,225.40M
AAOI,"Applied Optoelectronics, Inc.",Communication Equipment,401.62M
AAON,"AAON, Inc.",Building Products & Equipment,6.31B
AAP,"Advance Auto Parts, Inc.",Specialty Retail,4.48B
AAPL,Apple Inc,Consumer Electronics,"2,797.02B"
AAT,"American Assets Trust, Inc.",REIT - Diversified,1.33B
AB,AllianceBernstein Holding L.P.,Asset Management,3.76B
ABAT,American Battery Technology Company,Other Industrial Metals & Mining,74.69M
ABBV,AbbVie Inc.,Drug Manufacturers - General,284.16B
ABCB,Ameris Bancorp,Banks - Regional,3.43B
ABCL,AbCellera Biologics Inc.,Biotechnology,1.14B
ABEO,Abeona Therapeutics Inc.,Biotechnology,115.16M
ABEV,Ambev S.A.,Beverages - Brewers,36.61B
ABG,"Asbury Automotive Group, Inc.",Auto & Truck Dealerships,4.49B
ABIO,"ARCA biopharma, Inc.",Biotechnology,50.19M
ABL,"Abacus Life, Inc.",Insurance - Life,770.24M
ABLV,Able View Inc.,Advertising Agencies,63.24M
ABM,ABM Industries Incorporated,Specialty Business Services,2.91B
ABNB,"Airbnb, Inc.",Travel Services,93.57B
ABOS,"Acumen Pharmaceuticals, Inc.",Biotechnology,205.17M
ABR,"Arbor Realty Trust, Inc.",REIT - Mortgage,2.43B
ABSI,Absci Corporation,Biotechnology,549.02M
ABT,Abbott Laboratories,Medical Devices,182.27B
ABTS,Abits Group Inc.,Capital Markets,28.94M
ABUS,Arbutus Biopharma Corporation,Biotechnology,537.84M
ABVC,"ABVC BioPharma, Inc.",Biotechnology,11.19M
ABVX,Abivax SA,Biotechnology,878.17M
AC,"Associated Capital Group, Inc.",Asset Management,704.89M
ACA,"Arcosa, Inc.",Engineering & Construction,4.25B
ACAB,Atlantic Coastal Acquisition Corp. II,Shell Companies,87.96M
ACAC,Acri Capital Acquisition Corporation,Shell Companies,60.93M
ACAD,ACADIA Pharmaceuticals Inc.,Biotechnology,2.54B
ACB,Aurora Cannabis Inc.,Drug Manufacturers - Specialty & Generic,101.60M
ACBA,Ace Global Business Acquisition Limited,Shell Companies,41.93M
ACCD,"Accolade, Inc.",Health Information Services,560.25M
ACCO,ACCO Brands Corporation,Business Equipment & Supplies,486.81M
ACDC,ProFrac Holding Corp.,Oil & Gas Equipment & Services,1.27B
ACEL,"Accel Entertainment, Inc.",Gambling,835.24M
ACET,"Adicet Bio, Inc.",Biotechnology,122.02M
ACGL,Arch Capital Group Ltd.,Insurance - Diversified,37.70B
ACHC,"Acadia Healthcare Company, Inc.",Medical Care Facilities,6.63B
ACHL,Achilles Therapeutics plc,Biotechnology,38.42M
ACHR,Archer Aviation Inc.,Aerospace & Defense,1.18B
ACHV,"Achieve Life Sciences, Inc.",Biotechnology,157.56M
ACI,"Albertsons Companies, Inc.",Grocery Stores,11.99B
ACIC,American Coastal Insurance Corporation,Insurance - Property & Casualty,599.17M
ACIU,AC Immune SA,Biotechnology,232.12M
ACIW,"ACI Worldwide, Inc.",Software - Infrastructure,3.77B
ACLS,"Axcelis Technologies, Inc.",Semiconductor Equipment & Materials,3.67B
ACLX,"Arcellx, Inc.",Biotechnology,2.55B
ACM,AECOM,Engineering & Construction,12.72B
ACMR,"ACM Research, Inc.",Semiconductor Equipment & Materials,1.45B
ACN,Accenture plc,Information Technology Services,193.00B
ACNB,ACNB Corporation,Banks - Regional,275.36M
ACNT,Ascent Industries Co.,Steel,101.54M
ACON,"Aclarion, Inc.",Health Information Services,2.32M
ACR,ACRES Commercial Realty Corp.,REIT - Mortgage,104.87M
ACRE,Ares Commercial Real Estate Corporation,REIT - Mortgage,370.35M
ACRS,"Aclaris Therapeutics, Inc.",Diagnostics & Research,83.91M
ACRV,"Acrivon Therapeutics, Inc.",Biotechnology,252.25M
ACST,Acasti Pharma Inc.,Biotechnology,26.60M
ACT,"Enact Holdings, Inc.",Insurance - Specialty,4.98B
ACTG,Acacia Research Corporation,Business Equipment & Supplies,501.11M
ACU,Acme United Corporation,Household & Personal Products,150.24M
ACVA,ACV Auctions Inc.,Auto & Truck Dealerships,2.90B
ACXP,"Acurx Pharmaceuticals, Inc.",Biotechnology,32.44M
ADAG,Adagene Inc.,Biotechnology,97.50M
ADAP,Adaptimmune Therapeutics plc,Biotechnology,254.43M
ADBE,Adobe Inc.,Software - Infrastructure,218.35B
ADC,Agree Realty Corporation,REIT - Retail,6.00B
ADCT,ADC Therapeutics SA,Biotechnology,343.68M
ADD,"Color Star Technology Co., Ltd.",Entertainment,2.42M
ADEA,Adeia Inc.,Software - Application,1.21B
ADI,"Analog Devices, Inc.",Semiconductors,102.07B
ADIL,"Adial Pharmaceuticals, Inc.",Biotechnology,6.57M
ADM,Archer-Daniels-Midland Company,Farm Products,31.34B
ADMA,"ADMA Biologics, Inc.",Biotechnology,2.04B
ADN,"Advent Technologies Holdings, Inc.",Utilities - Renewable,8.32M
ADNT,Adient plc,Auto Parts,2.57B
ADP,"Automatic Data Processing, Inc.",Staffing & Employment Services,101.01B
ADPT,Adaptive Biotechnologies Corporation,Biotechnology,518.00M
ADRT,Ault Disruptive Technologies Corporation,Shell Companies,37.95M
ADSE,ADS-TEC Energy PLC,Electrical Equipment & Parts,538.83M
ADSK,"Autodesk, Inc.",Software - Application,46.70B
ADT,ADT Inc.,Security & Protection Services,5.99B
ADTH,"AdTheorent Holding Company, Inc.",Advertising Agencies,312.66M
ADTN,"ADTRAN Holdings, Inc.",Communication Equipment,419.71M
ADTX,"Aditxt, Inc.",Biotechnology,4.10M
ADUS,Addus HomeCare Corporation,Medical Care Facilities,1.77B
ADV,Advantage Solutions Inc.,Advertising Agencies,1.15B
ADVM,"Adverum Biotechnologies, Inc.",Biotechnology,198.64M
ADXN,Addex Therapeutics Ltd,Biotechnology,14.52M
AE,"Adams Resources & Energy, Inc.",Oil & Gas Refining & Marketing,74.43M
AEAE,AltEnergy Acquisition Corp.,Shell Companies,80.69M
AEE,Ameren Corporation,Utilities - Regulated Electric,19.83B
AEG,Aegon N.V.,Insurance - Diversified,11.50B
AEHL,Antelope Enterprise Holdings Limited,Building Products & Equipment,6.67M
AEHR,Aehr Test Systems,Semiconductor Equipment & Materials,322.69M
AEI,Alset EHome International Inc.,Real Estate - Development,4.40M
AEIS,"Advanced Energy Industries, Inc.",Electrical Equipment & Parts,3.75B
AEM,Agnico Eagle Mines Limited,Gold,34.13B
AEMD,"Aethlon Medical, Inc.",Medical Devices,3.13M
AENT,Alliance Entertainment Holding Corporation,Entertainment,127.92M
AEO,"American Eagle Outfitters, Inc.",Apparel Retail,4.80B
AEON,"AEON Biopharma, Inc.",Biotechnology,64.38M
AEP,"American Electric Power Company, Inc.",Utilities - Regulated Electric,48.22B
AER,AerCap Holdings N.V.,Rental & Leasing Services,19.14B
AERT,"Aeries Technology, Inc",Consulting Services,78.96M
AES,The AES Corporation,Utilities - Diversified,14.08B
AESI,Atlas Energy Solutions Inc.,Oil & Gas Equipment & Services,2.50B
AEVA,"Aeva Technologies, Inc.",Software - Infrastructure,184.33M
AEYE,"AudioEye, Inc.",Software - Application,214.62M
AEZS,Aeterna Zentaris Inc.,Biotechnology,9.86M
AFAR,Aura FAT Projects Acquisition Corp,Shell Companies,65.08M
AFBI,"Affinity Bancshares, Inc.",Banks - Regional,108.12M
AFCG,"AFC Gamma, Inc.",REIT - Specialty,254.62M
AFG,"American Financial Group, Inc.",Insurance - Property & Casualty,11.03B
AFJK,"Aimei Health Technology Co., Ltd Ordinary Share",Shell Companies,92.97M
AFL,Aflac Incorporated,Insurance - Life,49.58B
AFMD,Affimed N.V.,Biotechnology,78.73M
AFRI,Forafric Global PLC,Farm Products,279.54M
AFRM,"Affirm Holdings, Inc.",Software - Infrastructure,9.90B
AFYA,Afya Limited,Education & Training Services,1.70B
AG,First Majestic Silver Corp.,Silver,2.12B
AGAE,Allied Gaming & Entertainment Inc.,Entertainment,36.19M
AGBA,AGBA Acquisition Limited,Capital Markets,258.15M
AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,8.64B
AGEN,Agenus Inc.,Biotechnology,210.45M
AGFY,Agrify Corporation,Farm & Heavy Construction Machinery,4.05M
AGI,Alamos Gold Inc.,Gold,6.23B
AGIO,"Agios Pharmaceuticals, Inc.",Biotechnology,1.81B
AGL,"agilon health, inc.",Medical Care Facilities,2.13B
AGM,Federal Agricultural Mortgage Corporation,Credit Services,1.89B
AGM.A,Federal Agricultural Mortgage Corporation,Credit Services,1.90B
AGMH,AGM Group Holdings Inc.,Computer Hardware,25.95M
AGNC,AGNC Investment Corp.,REIT - Mortgage,6.72B
AGO,Assured Guaranty Ltd.,Insurance - Specialty,4.39B
AGR,"Avangrid, Inc.",Utilities - Regulated Electric,14.25B
AGRI,AgriFORCE Growing Systems Ltd.,Farm Products,2.21M
AGRO,Adecoagro S.A.,Farm Products,1.18B
AGS,"PlayAGS, Inc.",Gambling,456.37M
AGX,"Argan, Inc.",Engineering & Construction,877.27M
AGYS,"Agilysys, Inc.",Software - Application,2.22B
AHCO,AdaptHealth Corp.,Medical Devices,1.25B
AHG,Akso Health Group,Medical Distribution,16.23M
AHH,"Armada Hoffler Properties, Inc.",REIT - Diversified,764.30M
AHI,Advanced Human Imaging Limited,Software - Application,13.11M
AHR,"American Healthcare REIT, Inc.",REIT - Healthcare Facilities,763.90M
AHT,"Ashford Hospitality Trust, Inc.",REIT - Hotel & Motel,52.39M
AI,"C3.ai, Inc.",Software - Application,2.83B
AIG,"American International Group, Inc.",Insurance - Diversified,53.35B
AIH,Aesthetic Medical International Holdings Group Limited,Medical Care Facilities,20.41M
AIHS,Senmiao Technology Limited,Credit Services,7.65M
AILE,iLearningEngines Inc.,Software - Infrastructure,1.05B
AIM,AIM ImmunoTech Inc.,Biotechnology,21.43M
AIMAU,Aimfinity Investment Corp. I,Shell Companies,99.77K
AIMD,"Ainos, Inc.",Medical Devices,6.45M
AIN,Albany International Corp.,Textile Manufacturing,2.77B
AINC,Ashford Inc.,Asset Management,16.54M
AIP,"Arteris, Inc.",Semiconductors,310.91M
AIR,AAR Corp.,Aerospace & Defense,2.55B
AIRC,Apartment Income REIT Corp.,REIT - Residential,5.60B
AIRE,reAlpha Tech Corp.,Real Estate Services,47.21M
AIRG,"Airgain, Inc.",Communication Equipment,57.27M
AIRI,Air Industries Group,Aerospace & Defense,22.02M
AIRJ,Montana Technologies Corporation,Building Products & Equipment,771.77M
AIRS,"AirSculpt Technologies, Inc.",Medical Care Facilities,282.12M
AIRT,"Air T, Inc.",Integrated Freight & Logistics,68.47M
AISP,"Airship AI Holdings, Inc.",Software - Infrastructure,118.86M
AIT,"Applied Industrial Technologies, Inc.",Industrial Distribution,7.59B
AITR,AI TRANSPORTATION ACQUISITION CORP,Shell Companies,80.89M
AIU,Meta Data Limited,Education & Training Services,39.27M
AIV,Apartment Investment and Management Company,REIT - Residential,1.17B
AIXI,Xiao-I Corporation,Software - Application,79.98M
AIZ,"Assurant, Inc.",Insurance - Specialty,9.15B
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,54.69B
AJX,Great Ajax Corp.,REIT - Mortgage,132.77M
AKA,a.k.a. Brands Holding Corp.,Internet Retail,238.85M
AKAM,"Akamai Technologies, Inc.",Software - Infrastructure,13.88B
AKAN,Akanda Corp.,Drug Manufacturers - Specialty & Generic,1.05M
AKBA,"Akebia Therapeutics, Inc.",Biotechnology,257.80M
AKLI,"Akili, Inc.",Health Information Services,34.55M
AKO.A,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,2.68B
AKO.B,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,3.00B
AKR,Acadia Realty Trust,REIT - Retail,1.74B
AKRO,"Akero Therapeutics, Inc.",Biotechnology,1.37B
AKTS,"Akoustis Technologies, Inc.",Communication Equipment,55.05M
AKTX,"Akari Therapeutics, Plc",Biotechnology,10.59M
AKYA,"Akoya Biosciences, Inc.",Medical Instruments & Supplies,203.94M
AL,Air Lease Corporation,Rental & Leasing Services,5.46B
ALAB,"Astera Labs, Inc.",Semiconductors,10.77B
ALAR,Alarum Technologies Ltd.,Software - Infrastructure,187.94M
ALB,Albemarle Corporation,Specialty Chemicals,15.23B
ALBT,Avalon GloboCare Corp.,Real Estate Services,2.89M
ALC,Alcon Inc.,Medical Instruments & Supplies,40.21B
ALCC,AltC Acquisition Corp.,Shell Companies,785.72M
ALCE,Alternus Clean Energy Inc,Utilities - Renewable,28.34M
ALCO,"Alico, Inc.",Farm Products,206.85M
ALCY,Alchemy Investments Acquisition Corp 1,Shell Companies,159.29M
ALDX,"Aldeyra Therapeutics, Inc.",Biotechnology,223.40M
ALE,"ALLETE, Inc.",Utilities - Diversified,3.64B
ALEC,"Alector, Inc.",Biotechnology,517.59M
ALEX,"Alexander & Baldwin, Inc.",REIT - Retail,1.21B
ALG,Alamo Group Inc.,Farm & Heavy Construction Machinery,2.39B
ALGM,"Allegro MicroSystems, Inc.",Semiconductors,5.17B
ALGN,"Align Technology, Inc.",Medical Devices,20.42B
ALGS,"Aligos Therapeutics, Inc.",Biotechnology,56.26M
